time	sap_flux	sap_flux_err	pdcsap_flux	pdcsap_flux_err
1791.4784405467765	15200832.0	414.45764	14844900.0	419.68085
1791.4812183941629	15184675.0	414.24332	14809541.0	419.4638
1791.4826073173906	15220586.0	414.72867	14846206.0	419.9553
1791.483996241083	15198264.0	414.44226	14809830.0	419.66528
1791.4853851647767	15214467.0	414.68814	14823248.0	419.91428
1791.4867740884704	15209434.0	414.59402	14819061.0	419.81897
1791.4881630116981	15220995.0	414.7399	14818420.0	419.96667
1791.4895519353915	15225872.0	414.78674	14823006.0	420.0141
1791.4909408586184	15227714.0	414.81937	14820062.0	420.04715
1791.4923297823113	15221475.0	414.7429	14801473.0	419.96973
1791.4937187060048	15236018.0	414.92743	14814892.0	420.15656
1791.4951076292332	15246641.0	415.09726	14835533.0	420.32852
1791.4964965529268	15237409.0	414.97266	14798665.0	420.20236
1791.4978854761537	15248527.0	415.11694	14811083.0	420.34845
1791.4992743998466	15245662.0	415.06985	14802294.0	420.30078
1791.5006633230735	15232430.0	414.88995	14791040.0	420.11862
1791.5020522467669	15256628.0	415.2338	14807271.0	420.4668
1791.5034411699955	15240501.0	415.0296	14790796.0	420.26004
1791.504830093689	15255947.0	415.21338	14801021.0	420.4461
1791.5062190169162	15242943.0	415.03336	14781266.0	420.26382
1791.5076079406088	15253995.0	415.18744	14793892.0	420.41986
1791.5089968638365	15255849.0	415.2056	14783208.0	420.43823
1791.51038578753	15263271.0	415.30515	14794902.0	420.53906
1791.5117747107577	15269269.0	415.3811	14802474.0	420.61594
1791.5131636339856	15266652.0	415.35703	14795515.0	420.59158
1791.5145525576784	15257647.0	415.23508	14780807.0	420.4681
1791.5159414809061	15272877.0	415.43643	14788440.0	420.67197
1791.5173304045995	15281611.0	415.5407	14816162.0	420.77756
1791.5187193278268	15290908.0	415.671	14817896.0	420.9095
1791.5201082510546	15270742.0	415.40216	14782954.0	420.63727
1791.5214971742823	15293941.0	415.71393	14804074.0	420.95297
1791.5228860979757	15278205.0	415.52286	14788613.0	420.75952
1791.5242750212035	15293881.0	415.7157	14804207.0	420.95477
1791.5256639444308	15280684.0	415.55118	14801021.0	420.78818
1791.5270528676576	15283036.0	415.57156	14785772.0	420.80884
1791.528441791351	15305635.0	415.86786	14836384.0	421.1089
1791.5298307145797	15300554.0	415.8155	14819461.0	421.05582
1791.5312196378075	15304291.0	415.86752	14814716.0	421.10852
1791.5326085610347	15288302.0	415.65198	14782463.0	420.89023
1791.5339974842616	15319228.0	416.05045	14832986.0	421.29376
1791.5353864079545	15294602.0	415.75787	14794818.0	420.9975
1791.5367753311828	15297463.0	415.77524	14790050.0	421.01505
1791.5381642544114	15308119.0	415.9175	14806350.0	421.15915
1791.5395531776383	15298893.0	415.7792	14795223.0	421.01907
1791.5409421008655	15319479.0	416.06564	14832809.0	421.3091
1791.5423310240928	15312967.0	415.9752	14818859.0	421.2175
1791.5437199473206	15305623.0	415.8799	14800043.0	421.12103
1791.5451088705488	15319647.0	416.06445	14818735.0	421.30792
1791.5464977937766	15323908.0	416.13702	14822299.0	421.3814
1791.5478867170038	15324820.0	416.13937	14824339.0	421.3838
1791.5492756402307	15309957.0	415.93814	14809984.0	421.18002
1791.5506645634587	15338164.0	416.3087	14847701.0	421.55524
1791.5520534866866	15324179.0	416.1225	14821286.0	421.3667
1791.5534424099135	15340729.0	416.35797	14844919.0	421.60513
1791.5548313331412	15324206.0	416.12912	14821057.0	421.3734
1791.556220256369	15334193.0	416.26013	14828691.0	421.50607
1791.5576091795967	15320859.0	416.08685	14819613.0	421.33063
1791.5589981028247	15322104.0	416.1082	14816908.0	421.3522
1791.5603870260518	15326714.0	416.16565	14841813.0	421.4104
1791.561775949279	15362932.0	416.65314	14868102.0	421.90402
1791.5631648720412	15333263.0	416.25714	14840252.0	421.50302
1791.5645537952694	15323560.0	416.11816	14843550.0	421.3623
1791.5673316417244	15345538.0	416.4226	14856995.0	421.6706
1791.5687205649515	15344756.0	416.41824	14854556.0	421.66617
1791.570109487713	15342440.0	416.38315	14849189.0	421.63065
1791.5714984109416	15374246.0	416.8112	14891523.0	422.06406
1791.5728873341698	15348606.0	416.45886	14869087.0	421.7073
1791.574276257397	15357446.0	416.57843	14887014.0	421.82834
1791.5756651801582	15345604.0	416.43292	14872614.0	421.68103
1791.5770541033855	15360808.0	416.62985	14886634.0	421.88043
1791.5784430266133	15365937.0	416.69366	14891158.0	421.94507
1791.5798319493763	15358088.0	416.5909	14886960.0	421.841
1791.581220872604	15401992.0	417.1653	14956426.0	422.42264
1791.5826097958309	15370329.0	416.7691	14910762.0	422.02145
